"","date","total_cases","new_cases","total_deaths","new_deaths","growth_factor","death_percentage","MA_growth_factor","MA_new_cases"
"1",2020-01-22,1,1,0,0,NA,0,NA,NA
"2",2020-01-23,1,0,0,0,0,0,NA,NA
"3",2020-01-24,2,1,0,0,1,0,NA,NA
"4",2020-01-25,2,0,0,0,0,0,NA,NA
"5",2020-01-26,5,3,0,0,3,0,NA,NA
"6",2020-01-27,6,1,0,0,0.333333333333333,0,NA,NA
"7",2020-01-28,6,0,0,0,0,0,NA,NA
"8",2020-01-29,7,1,0,0,1,0,NA,NA
"9",2020-01-30,7,0,0,0,0,0,NA,NA
"10",2020-01-31,8,1,0,0,1,0,NA,NA
"11",2020-02-01,9,1,0,0,1,0,NA,NA
"12",2020-02-02,9,0,0,0,0,0,NA,NA
"13",2020-02-03,11,2,0,0,2,0,NA,NA
"14",2020-02-04,11,0,0,0,0,0,NA,0.785714285714286
"15",2020-02-05,11,0,0,0,NA,0,NA,0.714285714285714
"16",2020-02-06,11,0,1,1,NA,0.0909090909090909,NA,0.714285714285714
"17",2020-02-07,11,0,1,0,NA,0.0909090909090909,NA,0.642857142857143
"18",2020-02-08,11,0,1,0,NA,0.0909090909090909,NA,0.642857142857143
"19",2020-02-09,11,0,1,0,NA,0.0909090909090909,NA,0.428571428571429
"20",2020-02-10,11,0,1,0,NA,0.0909090909090909,NA,0.357142857142857
"21",2020-02-11,12,1,1,0,1,0.0833333333333333,NA,0.428571428571429
"22",2020-02-12,12,0,1,0,0,0.0833333333333333,NA,0.357142857142857
"23",2020-02-13,13,1,1,0,1,0.0769230769230769,NA,0.428571428571429
"24",2020-02-14,13,0,1,0,0,0.0769230769230769,NA,0.357142857142857
"25",2020-02-15,13,0,1,0,NA,0.0769230769230769,NA,0.285714285714286
"26",2020-02-16,13,0,1,0,NA,0.0769230769230769,NA,0.285714285714286
"27",2020-02-17,13,0,2,1,NA,0.153846153846154,NA,0.142857142857143
"28",2020-02-18,14,1,2,0,1,0.142857142857143,NA,0.214285714285714
"29",2020-02-19,14,0,2,0,0,0.142857142857143,NA,0.214285714285714
"30",2020-02-20,14,0,2,0,NA,0.142857142857143,NA,0.214285714285714
"31",2020-02-21,17,3,2,0,3,0.117647058823529,NA,0.428571428571429
"32",2020-02-22,17,0,2,0,0,0.117647058823529,NA,0.428571428571429
"33",2020-02-23,17,0,2,0,NA,0.117647058823529,NA,0.428571428571429
"34",2020-02-24,18,1,2,0,1,0.111111111111111,NA,0.5
"35",2020-02-25,18,0,2,0,0,0.111111111111111,NA,0.428571428571429
"36",2020-02-26,20,2,2,0,2,0.1,NA,0.571428571428571
